function	ft_method	target_layers	data_type	plm	head	task	head_config	layer	reduction	output_dir	gpus	gres	mem-per-cpu	nodes	run_time	experimenting
fine_tuning	bottleneck_adapters	all	aav	proteinbert	linear	classification	bottleneck_linear_classification_head_config.json	middle	bos	/cluster/scratch/estamkopoulo	1	rtx_3090	12g	1	14	False
fine_tuning	bottleneck_adapters	all	aav	proteinbert	linear	classification	bottleneck_linear_classification_head_config.json	quarter3	bos	/cluster/scratch/estamkopoulo	1	rtx_3090	12g	1	20	False
fine_tuning	bottleneck_adapters	all	aav	progen2-medium	linear	classification	bottleneck_linear_classification_head_config.json	quarter1	mean	/cluster/scratch/estamkopoulo	6	quadro_rtx_6000	18g	1	7	False
fine_tuning	bottleneck_adapters	all	aav	progen2-medium	linear	classification	bottleneck_linear_classification_head_config.json	quarter1	eos	/cluster/scratch/estamkopoulo	6	titan_rtx	18g	1	7	False
fine_tuning	bottleneck_adapters	all	aav	progen2-medium	linear	classification	bottleneck_linear_classification_head_config.json	middle	mean	/cluster/scratch/estamkopoulo	6	quadro_rtx_6000	18g	1	9	False
fine_tuning	bottleneck_adapters	all	aav	progen2-medium	linear	classification	bottleneck_linear_classification_head_config.json	middle	eos	/cluster/scratch/estamkopoulo	6	quadro_rtx_6000	18g	1	9	False
fine_tuning	bottleneck_adapters	all	aav	progen2-medium	linear	classification	bottleneck_linear_classification_head_config.json	quarter3	mean	/cluster/scratch/estamkopoulo	6	quadro_rtx_6000	18g	1	14	False
fine_tuning	bottleneck_adapters	all	aav	progen2-medium	linear	classification	bottleneck_linear_classification_head_config.json	quarter3	eos	/cluster/scratch/estamkopoulo	6	quadro_rtx_6000	18g	1	14	False
fine_tuning	bottleneck_adapters	all	aav	progen2-medium	linear	classification	bottleneck_linear_classification_head_config.json	last	mean	/cluster/scratch/estamkopoulo	6	quadro_rtx_6000	18g	1	18	False
fine_tuning	bottleneck_adapters	all	aav	progen2-medium	linear	classification	bottleneck_linear_classification_head_config.json	last	eos	/cluster/scratch/estamkopoulo	6	quadro_rtx_6000	18g	1	18	False
fine_tuning	bottleneck_adapters	all	aav	progen2-xlarge	linear	classification	bottleneck_linear_classification_head_config.json	middle	mean	/cluster/scratch/estamkopoulo	4	a100-pcie-40gb	35g	1	36	False
fine_tuning	bottleneck_adapters	all	aav	progen2-xlarge	linear	classification	bottleneck_linear_classification_head_config.json	middle	eos	/cluster/scratch/estamkopoulo	4	a100-pcie-40gb	35g	1	36	False
fine_tuning	bottleneck_adapters	all	aav	progen2-xlarge	linear	classification	bottleneck_linear_classification_head_config.json	quarter3	mean	/cluster/scratch/estamkopoulo	6	a100-pcie-40gb	35g	1	40	False
fine_tuning	bottleneck_adapters	all	aav	progen2-xlarge	linear	classification	bottleneck_linear_classification_head_config.json	quarter3	eos	/cluster/scratch/estamkopoulo	6	a100-pcie-40gb	35g	1	40	False
fine_tuning	bottleneck_adapters	all	aav	progen2-xlarge	linear	classification	bottleneck_linear_classification_head_config.json	last	mean	/cluster/scratch/estamkopoulo	6	a100_80gb	35g	1	54	False
fine_tuning	bottleneck_adapters	all	aav	progen2-xlarge	linear	classification	bottleneck_linear_classification_head_config.json	last	eos	/cluster/scratch/estamkopoulo	6	a100_80gb	35g	1	54	False
fine_tuning	bottleneck_adapters	all	aav	progen2-xlarge	linear	regression	bottleneck_linear_head_config.json	quarter1	mean	/cluster/scratch/estamkopoulo	4	rtx_3090	35g	1	24	False
fine_tuning	bottleneck_adapters	all	aav	progen2-xlarge	linear	regression	bottleneck_linear_head_config.json	quarter1	eos	/cluster/scratch/estamkopoulo	4	rtx_3090	35g	1	24	False
fine_tuning	bottleneck_adapters	all	aav	progen2-xlarge	linear	regression	bottleneck_linear_head_config.json	middle	mean	/cluster/scratch/estamkopoulo	4	a100-pcie-40gb	35g	1	36	False
fine_tuning	bottleneck_adapters	all	aav	progen2-xlarge	linear	regression	bottleneck_linear_head_config.json	middle	eos	/cluster/scratch/estamkopoulo	4	a100-pcie-40gb	35g	1	36	False
fine_tuning	bottleneck_adapters	all	aav	progen2-xlarge	linear	regression	bottleneck_linear_head_config.json	quarter3	mean	/cluster/scratch/estamkopoulo	6	a100-pcie-40gb	35g	1	40	False
fine_tuning	bottleneck_adapters	all	aav	progen2-xlarge	linear	regression	bottleneck_linear_head_config.json	quarter3	eos	/cluster/scratch/estamkopoulo	6	a100-pcie-40gb	35g	1	40	False
fine_tuning	bottleneck_adapters	all	aav	progen2-xlarge	linear	regression	bottleneck_linear_head_config.json	last	mean	/cluster/scratch/estamkopoulo	6	a100_80gb	35g	1	54	False
fine_tuning	bottleneck_adapters	all	aav	progen2-xlarge	linear	regression	bottleneck_linear_head_config.json	last	eos	/cluster/scratch/estamkopoulo	6	a100_80gb	35g	1	54	False
fine_tuning	bottleneck_adapters	all	gb1	proteinbert	linear	regression	bottleneck_linear_head_config.json	last	mean	/cluster/scratch/estamkopoulo	2	rtx_3090	12g	1	6	False
fine_tuning	bottleneck_adapters	all	gb1	proteinbert	linear	regression	bottleneck_linear_head_config.json	last	bos	/cluster/scratch/estamkopoulo	2	rtx_3090	12g	1	6	False
fine_tuning	bottleneck_adapters	all	gb1	progen2-medium	linear	regression	bottleneck_linear_head_config.json	last	mean	/cluster/scratch/estamkopoulo	3	quadro_rtx_6000	18g	1	18	False
fine_tuning	bottleneck_adapters	all	gb1	progen2-medium	linear	regression	bottleneck_linear_head_config.json	last	eos	/cluster/scratch/estamkopoulo	3	quadro_rtx_6000	18g	1	18	False
fine_tuning	bottleneck_adapters	all	gb1	progen2-xlarge	linear	regression	bottleneck_linear_head_config.json	middle	mean	/cluster/scratch/estamkopoulo	4	a100-pcie-40gb	35g	1	24	False
fine_tuning	bottleneck_adapters	all	gb1	progen2-xlarge	linear	regression	bottleneck_linear_head_config.json	middle	eos	/cluster/scratch/estamkopoulo	4	a100-pcie-40gb	35g	1	24	False
fine_tuning	bottleneck_adapters	all	gb1	progen2-xlarge	linear	regression	bottleneck_linear_head_config.json	quarter3	mean	/cluster/scratch/estamkopoulo	6	a100-pcie-40gb	35g	1	24	False
fine_tuning	bottleneck_adapters	all	gb1	progen2-xlarge	linear	regression	bottleneck_linear_head_config.json	quarter3	eos	/cluster/scratch/estamkopoulo	6	a100-pcie-40gb	35g	1	24	False
fine_tuning	bottleneck_adapters	all	gb1	progen2-xlarge	linear	regression	bottleneck_linear_head_config.json	last	mean	/cluster/scratch/estamkopoulo	6	a100_80gb	35g	1	36	False
fine_tuning	bottleneck_adapters	all	gb1	progen2-xlarge	linear	regression	bottleneck_linear_head_config.json	last	eos	/cluster/scratch/estamkopoulo	6	a100_80gb	35g	1	36	False
fine_tuning	bottleneck_adapters	all	meltome	progen2-xlarge	linear	regression	bottleneck_linear_head_config.json	first	mean	/cluster/scratch/estamkopoulo	3	a100_80gb	60g	1	40	False
fine_tuning	bottleneck_adapters	all	meltome	progen2-xlarge	linear	regression	bottleneck_linear_head_config.json	first	eos	/cluster/scratch/estamkopoulo	3	a100_80gb	60g	1	40	False
fine_tuning	bottleneck_adapters	all	meltome	progen2-xlarge	linear	regression	bottleneck_linear_head_config.json	quarter1	mean	/cluster/scratch/estamkopoulo	3	a100_80gb	60g	1	40	False
fine_tuning	bottleneck_adapters	all	meltome	progen2-xlarge	linear	regression	bottleneck_linear_head_config.json	quarter1	eos	/cluster/scratch/estamkopoulo	3	a100_80gb	60g	1	40	False
fine_tuning	bottleneck_adapters	all	meltome	progen2-xlarge	linear	regression	bottleneck_linear_head_config.json	middle	mean	/cluster/scratch/estamkopoulo	3	a100_80gb	60g	1	40	False
fine_tuning	bottleneck_adapters	all	meltome	progen2-xlarge	linear	regression	bottleneck_linear_head_config.json	middle	eos	/cluster/scratch/estamkopoulo	3	a100_80gb	60g	1	40	False
fine_tuning	bottleneck_adapters	all	meltome	progen2-xlarge	linear	regression	bottleneck_linear_head_config.json	quarter3	mean	/cluster/scratch/estamkopoulo	3	a100_80gb	60g	1	40	False
